Feature,Importance,timestamp
cat__importer_Importer_354,0.00159648,2025-05-12 22:09:03
cat__importer_Importer_139,0.0015921927,2025-05-12 22:09:03
cat__importer_Importer_840,0.001591856,2025-05-12 22:09:03
cat__importer_Importer_372,0.0015906453,2025-05-12 22:09:03
cat__importer_Importer_425,0.0015867262,2025-05-12 22:09:03
cat__importer_Importer_115,0.0015728475,2025-05-12 22:09:03
cat__importer_Importer_264,0.0015716794,2025-05-12 22:09:03
cat__importer_Importer_226,0.0015710649,2025-05-12 22:09:03
cat__importer_Importer_841,0.0015691122,2025-05-12 22:09:03
cat__importer_Importer_221,0.0015647527,2025-05-12 22:09:03
cat__importer_Importer_764,0.0015601433,2025-05-12 22:09:03
cat__importer_Importer_395,0.0015585872,2025-05-12 22:09:03
cat__importer_Importer_852,0.0015581382,2025-05-12 22:09:03
cat__importer_Importer_21,0.0015530429,2025-05-12 22:09:03
cat__importer_Importer_203,0.0015519572,2025-05-12 22:09:03
cat__importer_Importer_747,0.001550644,2025-05-12 22:09:03
cat__importer_Importer_433,0.0015506389,2025-05-12 22:09:03
cat__importer_Importer_365,0.0015482656,2025-05-12 22:09:03
cat__importer_Importer_287,0.0015456083,2025-05-12 22:09:03
cat__importer_Importer_973,0.0015364512,2025-05-12 22:09:03
cat__importer_Importer_588,0.001534529,2025-05-12 22:09:03
cat__importer_Importer_171,0.0015336359,2025-05-12 22:09:03
cat__importer_Importer_110,0.0015330529,2025-05-12 22:09:03
cat__importer_Importer_405,0.001527359,2025-05-12 22:09:03
cat__importer_Importer_374,0.0015267495,2025-05-12 22:09:03
cat__importer_Importer_170,0.001525853,2025-05-12 22:09:03
cat__importer_Importer_323,0.001525558,2025-05-12 22:09:03
cat__importer_Importer_31,0.0015243178,2025-05-12 22:09:03
cat__importer_Importer_96,0.0015224381,2025-05-12 22:09:03
cat__importer_Importer_500,0.0015137716,2025-05-12 22:09:03
cat__importer_Importer_475,0.0015115306,2025-05-12 22:09:03
cat__importer_Importer_643,0.0015074414,2025-05-12 22:09:03
cat__importer_Importer_64,0.0015053299,2025-05-12 22:09:03
cat__importer_Importer_46,0.0015046444,2025-05-12 22:09:03
cat__importer_Importer_760,0.0014948343,2025-05-12 22:09:03
cat__importer_Importer_675,0.0014938564,2025-05-12 22:09:03
cat__importer_Importer_74,0.0014888044,2025-05-12 22:09:03
cat__importer_Importer_935,0.0014815087,2025-05-12 22:09:03
cat__importer_Importer_376,0.0014799284,2025-05-12 22:09:03
cat__importer_Importer_607,0.0014794613,2025-05-12 22:09:03
cat__importer_Importer_861,0.001478953,2025-05-12 22:09:03
cat__importer_Importer_462,0.0014773482,2025-05-12 22:09:03
cat__importer_Importer_706,0.001469953,2025-05-12 22:09:03
cat__importer_Importer_917,0.001468457,2025-05-12 22:09:03
cat__importer_Importer_278,0.0014658688,2025-05-12 22:09:03
cat__importer_Importer_540,0.0014644683,2025-05-12 22:09:03
cat__importer_Importer_796,0.0014542222,2025-05-12 22:09:03
cat__importer_Importer_362,0.001453859,2025-05-12 22:09:03
cat__importer_Importer_556,0.0014495049,2025-05-12 22:09:03
cat__importer_Importer_888,0.0014329674,2025-05-12 22:09:03
cat__importer_Importer_4,0.0014306593,2025-05-12 22:09:03
cat__importer_Importer_914,0.001428657,2025-05-12 22:09:03
cat__importer_Importer_488,0.0014205175,2025-05-12 22:09:03
cat__importer_Importer_198,0.0014135645,2025-05-12 22:09:03
cat__importer_Importer_681,0.0014091171,2025-05-12 22:09:03
cat__importer_Importer_986,0.0013955866,2025-05-12 22:09:03
cat__importer_Importer_432,0.0013952787,2025-05-12 22:09:03
cat__importer_Importer_696,0.0013915783,2025-05-12 22:09:03
cat__importer_Importer_242,0.0013898923,2025-05-12 22:09:03
cat__importer_Importer_703,0.0013894545,2025-05-12 22:09:03
cat__importer_Importer_906,0.0013886954,2025-05-12 22:09:03
cat__importer_Importer_450,0.0013869858,2025-05-12 22:09:03
cat__importer_Importer_662,0.0013825867,2025-05-12 22:09:03
cat__importer_Importer_364,0.0013823246,2025-05-12 22:09:03
cat__importer_Importer_859,0.0013752335,2025-05-12 22:09:03
cat__importer_Importer_141,0.0013747948,2025-05-12 22:09:03
cat__importer_Importer_289,0.0013745876,2025-05-12 22:09:03
